ID,Country,Name,Type,Electric_capacity,Thermal capacity,zone_el,Latitude,Longitude,demand_price
Electric boiler34DK,DK,Name34,Electric boiler,0,0.9,DK1,56.447,8.5881,15.35263777
Electric boiler35DK,DK,Name35,Electric boiler,0,1,DK1,56.447,8.5881,17.72574694
Electric boiler36DK,DK,Name36,Electric boiler,0,6,DK1,56.0074,8.126,16.57996903
Electric boiler37DK,DK,Name37,Electric boiler,0,3,DK1,57.3409,10.2385,19.95021506
Electric boiler38DK,DK,Name38,Electric boiler,0,2.4,DK1,57.287,10.0949,21.86451098
Electric boiler39DK,DK,Name39,Electric boiler,0,15,DK1,56.54521927,8.304851162,23.81476466
Electric boiler40DK,DK,Name40,Electric boiler,0,37,DK1,56.65067204,9.982000526,15.1573932
Electric boiler41DK,DK,Name41,Electric boiler,0,7,DK1,56.98209675,9.641109112,18.2524437
Electric boiler42DK,DK,Name42,Electric boiler,0,6,DK1,56.8018,8.8632,16.80661135
Electric boiler43DK,DK,Name43,Electric boiler,0,10,DK2,55.92684889,11.66898976,14.41992512
Electric boiler44DK,DK,Name44,Electric boiler,0,4.5,DK1,55.9638,9.3968,20.48222528
Electric boiler45DK,DK,Name45,Electric boiler,0,8,DK1,55.62768336,8.280623301,23.7614225
Electric boiler46DK,DK,Name46,Electric boiler,0,10,DK1,57.2180561,9.674738396,17.67973197
Electric boiler47DK,DK,Name47,Electric boiler,0,10,DK1,55.3422,8.7903,14.57702111
